"Group Deals","Deals"
"Search by Country:","S&oslash;g efter Land:"
"Universal","Hele landet"
"(x) close","(x) luk"
"There are no deals setup at the moment","Der er ingen deals setup i &oslash;jeblikket"
"Value","V&aelig;rdi"
"Discount","Rabat"
"You Save","Du Sparer"
"TIME LEFT TO BUY","TID TILBAGE AT K&Oslash;BE"
"%s bought","%s k&oslash;bt"
"%s more needed to get the deal","Yderligere %s skal k&oslash;be dealen f&oslash;r den er aktiv"
"The deal is on!","Dealen er aktiv!"
"Tipped at %s with %s bought","V&aelig;ltet ved %s med %s k&oslash;bte"
"The deal is over.","Dealen er slut."
"The deal's target wasn't met.","Dealens m&aring;l blev ikke n&aring;et."
"Share:","Del:"
"The Fine Print","Det med sm&aring;t"
"Highlights","Tilbudet indeholder"
"Business Hours","&Aring;bningstider"
"Company Website","Firma Hjemmeside"
"Facebook","Facebook"
"Twitter","Twitter"
"Email","Email"
"Phone:","Telefon:"
"Mobile:","Mobil:"
"View Larger Map","Se st&oslash;rre kort"
"Get Directions","F&aring; Rute Vejledning"
"%s - Current Deals","%s - Aktive Deals"
"%s - Recent Deals","%s - Afsluttede Deals"
"There are no recent deals.","Der er ingen afsluttede deals."
"There are no deals currently active.","Der er ingen aktive deals."
"view recent deals","se afsluttede deals"
"view current deals","Se aktive deals"
"Purchased:","K&oslash;bte:"
"Value:","V&aelig;rdi:"
"Price:","Pris:"
"Target Met!","M&aringl; n&aring;et"
"Target wasn't met.","M&aring;let ikke n&aring;et." 
"Side deals","Andre deals"
" deals"," deals"
"View: ","Se Deals: "
"All Deals","Alle"
"Recent Deals","Afsluttede"
"Universal deals","Deals for Hele landet"
"Subscribe to our deals!","Tilmeld dig vores Deals!"
"Subscribe to receive updates whenever a new deal is posted, when it reaches it's target or when it's over.","Tilmeld dig for at modtage nyheder om en ny deal, n&aring;r den er f&aelig;rdig eller har n&aring;et sit m&aring;l."
"City","By"
"Email Address","Email Adresse"
"Already Subscribed?","Allerede Tilmeldt?"
"Subscribe","Tilmeld"
"Subscriptions","Tilmeldinger"
"Subscribe to %s Deals:","Tilmeld til Deals i %s"
"Subscribe","Tilmeld"
"You are now unsubscribed!","Du er nu afmeldt!"
"You have successfully unsubscribed to the %s newsletter. You will be redirected to our homepage in 5 seconds.","Du har succesfuldt afmeldt dig %s nyhedsbrevet. Du vil blive viderestillet til forsiden om 5 sekunder."
"Session expired. Please select a city.","Tid udl&oslash;bet. Venligst v&aelig;lg en by."
"Thank you for your subscription.","Tak for din tilmelding."
"You are already subscribed to this city.","Du er allerede tilmeldt denne by."
"My Coupons","Mine V&aelig;di Kuponer"
"Order #","Ordrer #"
"Deal Name","Deal Navn"
"Coupon Code","Kupon Kode"
"Value","V&aelig;rdi"
"Redeem Status","Se Status"
"Coupon Action","Kupon Action"
"View","Se"
"Print","Print"
"View Order","Se Ordrer"
"You didn't purchase any coupons.","Du har ikke k&oslash;bt nogle kuponer."
"Back","Tilbage"
"Coupon - %s","Kupon - %s"
"Print Coupon - %s","Print Kupon - %s"
"View Order","Se Ordrer"
"Print Coupon","Print Kupon"
"Back to My Coupons","Tilbage til Mine Kuponer"
"Not A Merchant Yet?","Ikke tilmeldt som Forhandler Endnu?"
"Subscribe to get your business featured on our %s website.","Tilmeld dig og f&aring; din virksomhed p&aring; vores hjemmeside."
"Become a Merchant","Bliv Forhandler"
"General Deal Information","General Deal Information"
"Name","Navn"
"Email","Email"
"Website","Hjemmeside"
"Phone","Telefon"
"Mobile","Mobil"
"Facebook link","Facebook link"
"Twitter link","Twitter link"
"Description","Beskrivelse"
"Business Hours","&Aring;bningstider"
"Address Information","Addresse Information"
"1st Address","1. Adresse"
"2nd Address","2. Adresse"
"3rd Address","3. Adresse"
"4th Address","4. Adresse"
"5th Address","5. Adresse"
"Redeem at","Indl&oslash;ses"
"* Required Fields","* Kr&aelig;vede Felter"
"Submit","Tilf&oslash;j"
"Redeemable at %s in %s.","Indl&oslash;s ved %s i %s."
"Redeemable in %s.","Indl&oslash;s ved %s."
"Redeemable at %s.","Indl&oslash;s ved %s."
"Customer Name:","Kundens Navn:"
"CUSTOM OPTIONS:","BRUGERDEFINERET INDSTILLINGER:"
"ADDRESS:","ADRESSE:"
"CONTACT INFO:","KONTAKT INFO:"
"Phone:","Telefon:"
"Mobile:","Mobil:"
"E-Mail:","E-Mail:"
"Website:","Hjemmeside:"
"Coupon #:","Kupon #:"
"Valid Until:","Gyldig til:"
"Value:","V&aelig;rdi:"
"The Fine Print","Det med sm&aring;t"
"Highlights","Dealen indeholder"
"Merchant Description","Forhandler Beskrivelse"
"BUSINESS HOURS","&Aring;BNINGSTIDER"
"Additional Info","Mere Info"
"This is a Gift Coupon sent to you by %s.","Der er en gavekupon sendt til dig af %s."
"Gift Message:","Gave besked:"
"Facebook connection failed.","Facebook forbindelse fejlede."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Din Facebook bruger er succesfuldt forbundet nu. Nu kan du logge ind hurtigt med Facebook forbindelse."
"Service temporarily unavailable.","Tjenesten midlertidigt utilg&aelig;ngelig."
"Email address is required.","Email adresse er kr&aelig;vet."
"Thank you for registering with %s","Tak for tilmeldelse ved %s"
"You will receive welcome email with registration info in a moment.","Du vil modtage en velkomst email inden l&aelig;nge med yderligere information."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Din Facebook profil har ikke alle &oslash;nskede oplysninger. Log ind og derefter kan du bruge Facebook forbindelse."
"Connect with Facebook","Forbind med Facebook"
"Facebook Connect","Facebook Forbindelse"
"Facebook Users","Facebook Brugere"
"Use your Facebook account to login or register within our store. You're just one click away.","Brug din Facebook bruger til at logge ind eller oprette en ny bruger. Du er kun 1 klik v&aelig;k."
"Facebook Connect Options","Facebook Forbindelse Indstillinger"
"Enabled","Aktiveret"
"Application Api Key","Application Api n&oslash;gle"
"Application Secret","Application Secret"
"Locale","Lokale"
"Message","Besked"
"(Max 255 characters)","(Maks 255 tegn)"
"From","Fra"
"To","Til"
"Email to","Email til"
"I'll print it myself","Jeg printer selv"
"Save","Gem"
"or","eller"
"Cancel","Afbryd"
"Saving...","Gemmer ..."
"Gift for:","Gave til:"
"Edit","Rediger"
"or","eller"
"Remove","Slet"
"Loading...","Arbejder..."
"Give the Coupon(s) as a Gift","Giv Kuponen som Gave"
"Gift Options","Gave Indstillinger"
"Fill out the form below to send the coupon(s) as a gift!","Fyld formularen ud nedenunder for at sende gaven!"
"Redeem your Coupons!","Indl&oslash;s dine Kuponer!"
"Redeem Information","Kupon Information"
"Please enter the Coupon Code below to redeem it and view it's status.","Skriv venligst Kupon Koden for at indl&oslash;se den og se dens status."
"Coupon Code","Kupon Kode"
"* Required Fields","* Kr&aelig;vede felter"
"Submit","Tilf&oslash;j"
"The Coupon doesn't exist in our database.","Kuponen eksisterer ikke I vores database."
"The &quot;%s&quot; Coupon has been redeemed.","&quot;%s&quot; Kuponen er indl&oslash;st."
"The &quot;%s&quot; Coupon has already been used.","&quot;%s&quot; Kuponen er allerede indl&oslash;st."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Din besked er tilf&oslash;jet og vil blive gennemset hurtigst muligt. Tak skal du have."
"Unable to submit your request. Please, try again later","Kunne ikke udf&oslash;re handlingen. Venligst pr&oslash;v igen senere"
"%s - Upcoming Deals","%s - Kommende Deals"
"There are no upcoming deals.","Der er ingen kommende deals."
"Feel free to Subscribe to receive updates on the newest Deals.","F&oslash;lg os og modtag oplysninger om de nyeste og mest sp&aelig;ndende deals.."
"Not used","Ikke brugt"
"Used","Brugt"
"Voided","Annulleret"
"Coupon not sent","Kupon ikke sendt"
"Give as a Gift","Giv en Gave"
"Deal is active","Dealen k&oslash;rer"
"Deal is active!","Dealen k&oslash;rer!"
"bought","k&oslash;bt"
"Add to:","Adder:"
"Filter by Category","Filtrer p&aring kategori"
"Redeem at location","Indl&oslash;s p&aring; lokation"
 "Time left to buy:","Tid tilbage til at k&oslash;be:"
"The &#34;%s&#34; DEAL is no longer available for purchase.","The &#34;%s&#34; GIV er ikke l&aelig;ngere tilg&aelig;ngelig for k&oslash;b."
"The maximum order qty available for the &#34;%s&#34; DEAL is %s. Please take into account your previous purchases as well.","Max. antal du kan k&oslash;be af dealen &#34;%s&#34; er &#34;%s&#34;."

"Savings:","Spar:"
"Discount:","Rabat:"
"Manage Deals","Administrer Deals"
"Manage Merchants", "Administrer Forhandlere"
"Manage Subscribers", "Administrer Tilmeldte"
"Merchants Manager", "Administrerer Forhandlere"
"Other Information", "Anden Information"
"Bank Information", "Bank Oplysninger"
"Add Deal", "Tilf√∏j Deal"
"Delete Merchant", "Slet Forhandler"
"Save Merchant", "Gem Forhandler"
"Allow Merchant to View/Edit their info", "Tillad Forhandler at Se/Rette deres info"
"Allow Merchant to Add/Edit Deals", "Tillad forhandler at Addere/Rette deals"
"Require Administrator Approval", "Kr√¶ver Administrator godkendelse"
"Allow Merchant to Delete Deals", "Forhandler m√• Slette Deals"
"Allow Merchant to View their Sales", "Tillad Forhandler at se deres Salg"
"Create Deal Settings", "Opret Deal"
"Deal was successfully saved", "Dealen gemt"
"Email Coupons", "Email Kuponer"
"Email Coupons CSV to Merchant", "Email CSV Fil Med Kuponer til Forhandler"
"Preview Coupon", "Se Kupon"
"Preview Deal", "Se Deal"
"Purchased/Target", "Solgt/M√•l"
"Virtual Product (Coupon)", "Service Ydelse (Kupon)"
"Complete", "Afsluttet"
"The deal has not ended yet on all of your stores. Are you sure you want to email the coupons to your customers?", "Dealen er endnu ikke afsluttet. Er du sikker pÂ du vil maile kuponer til kunderne?"
"USED", "BRUGT"
"Coupons will only be sent to Invoiced Orders", "Kuponer vil kun blive sendt til Fakturerede Ordrer"
"Sending<br/>", "Sender<br/>"
"View", "Se"
"Redeem", "Indl&oslash;s"
"Voided", "Ugyldig"
"Coupon not sent", "Kupon ikke sendt"
"Coupon Not Generated", "Kupon ikke genereret"
"--- No Merchant ---", "--- Ingen Forhandler ---"
"Virtual Product (Coupon)", "Virtuelt Produkt (Kupon)"
"Running", "K&oslash;rer"
"Ended", "Slut"
"Queued", "Venter"
"Pending Approval", "Afventer Godkendelse"